Parent,Child,Place_Tag,Wikipedia_Title,Wikipedia_URL
Warrington,Appleton,suburb,"Appleton, Warrington","https://en.wikipedia.org/wiki/Appleton,_Warrington"
Warrington,Bewsey,suburb,,
Warrington,Birchwood,suburb,Birchwood Warrington Vikings,https://en.wikipedia.org/wiki/Birchwood_Warrington_Vikings
Warrington,Callands,suburb,,
Warrington,Cinnamon Brow,suburb,,
Warrington,Deansgreen,suburb,,
Warrington,Fearnhead,suburb,,
Warrington,Gemini,suburb,,
Warrington,Grappenhall,suburb,,
Warrington,Great Sankey,suburb,,
Warrington,Howley,suburb,,
Warrington,Latchford,suburb,,
Warrington,Orford,suburb,"Orford, Warrington","https://en.wikipedia.org/wiki/Orford,_Warrington"
Warrington,Padgate,suburb,,
Warrington,Penketh,suburb,,
Warrington,Stockton Heath,suburb,,
Warrington,Thelwall,suburb,,
Warrington,Walton,suburb,"Walton, Warrington","https://en.wikipedia.org/wiki/Walton,_Warrington"
Warrington,Westbrook,suburb,"Westbrook, Warrington","https://en.wikipedia.org/wiki/Westbrook,_Warrington"
Warrington,Woolston,suburb,"Woolston, Warrington","https://en.wikipedia.org/wiki/Woolston,_Warrington"
Warrington,Barrow Hall,neighbourhood,,
Warrington,Doe Green,neighbourhood,,
Warrington,Gatewarth,neighbourhood,,
Warrington,Heatley,neighbourhood,,
Warrington,Ladywood,neighbourhood,,
Warrington,Lane Ends,neighbourhood,,
Warrington,Winwick Park,neighbourhood,,
Warrington,Wright's Green,neighbourhood,,
Warrington,Appleton Park,quarter,,
Warrington,Bank Quay,quarter,,
Warrington,Blackbrook,quarter,,
Warrington,Bruche,quarter,"Bruche, Warrington","https://en.wikipedia.org/wiki/Bruche,_Warrington"
Warrington,Centre Park,quarter,,
Warrington,Chapelford,quarter,,
Warrington,Cobbs Estate,quarter,,
Warrington,Dallam,quarter,"Dallam, Warrington","https://en.wikipedia.org/wiki/Dallam,_Warrington"
Warrington,Dudlow's Green,quarter,,
Warrington,Edgewater Park,quarter,,
Warrington,Fairfield,quarter,"Fairfield, Washington","https://en.wikipedia.org/wiki/Fairfield,_Washington"
Warrington,Gorse Covert,quarter,,
Warrington,Grappenhall Heys,quarter,,
Warrington,Greystone Heath,quarter,,
Warrington,Higher Walton,quarter,,
Warrington,Highfields Farm,quarter,,
Warrington,Hillcliffe,quarter,,
Warrington,Hood Manor,quarter,,
Warrington,Howley Quay,quarter,,
Warrington,Hulme,quarter,,
Warrington,Kingswood,quarter,,
Warrington,Lingley Green,quarter,,
Warrington,Locking Stumps,quarter,,
Warrington,Longbarn,quarter,,
Warrington,Longford,quarter,"Longford, Warrington","https://en.wikipedia.org/wiki/Longford,_Warrington"
Warrington,Lower Stretton,quarter,,
Warrington,Lower Walton,quarter,,
Warrington,Martinscroft,quarter,,
Warrington,Newchurch,quarter,,
Warrington,Oakwood,quarter,"Oakwood, Warrington","https://en.wikipedia.org/wiki/Oakwood,_Warrington"
Warrington,Old Hall,quarter,,
Warrington,Omega,quarter,,
Warrington,Oughtrington,quarter,,
Warrington,Paddington,quarter,,
Warrington,Risley,quarter,"Risley, Warrington","https://en.wikipedia.org/wiki/Risley,_Warrington"
Warrington,Sankey Bridges,quarter,,
Warrington,Statham,quarter,,
Warrington,Twiss Green,quarter,,
Warrington,Walton Lea,quarter,,
Warrington,Walton Superior,quarter,,
Warrington,Westy,quarter,,
Warrington,Whitecross,quarter,,
Warrington,Whittle Hall,quarter,,
Warrington,Wilderspool,quarter,,
Warrington,Winwick Quay,quarter,,
Warrington,Woolston Grange,quarter,,
Warrington,Appleton Thorn,village,,
Warrington,Broomedge,village,,
Warrington,Burtonwood,village,,
Warrington,Collins Green,village,,
Warrington,Croft,village,"Croft, Warrington","https://en.wikipedia.org/wiki/Croft,_Warrington"
Warrington,Cuerdley Cross,village,,
Warrington,Culcheth,village,,
Warrington,Fowley Common,village,,
Warrington,Glazebrook,village,,
Warrington,Glazebury,village,,
Warrington,Hollins Green,village,,
Warrington,Kenyon,village,"Kenyon, Warrington","https://en.wikipedia.org/wiki/Kenyon,_Warrington"
Warrington,Lymm,village,,
Warrington,Stretton,village,"Stretton, Warrington","https://en.wikipedia.org/wiki/Stretton,_Warrington"
Warrington,Winwick,village,,
Warrington,Arbury,hamlet,,
Warrington,Diggle Green,hamlet,,
Warrington,Hatton,hamlet,"Hatton, Warrington","https://en.wikipedia.org/wiki/Hatton,_Warrington"
Warrington,Hermitage Green,hamlet,,
Warrington,Houghton Green,hamlet,,
Warrington,Lately Common,hamlet,,
Warrington,Little Town,hamlet,,
Warrington,New Lane End,hamlet,,
Warrington,Wilhead,hamlet,,
St Helens,Abbotsfield,suburb,,
St Helens,Bold,suburb,"Bold, St Helens","https://en.wikipedia.org/wiki/Bold,_St_Helens"
St Helens,Broad Oak,suburb,"Broad Oak, St Helens","https://en.wikipedia.org/wiki/Broad_Oak,_St_Helens"
St Helens,Brown Edge,suburb,,
St Helens,Clock Face,suburb,"Clock Face, St Helens","https://en.wikipedia.org/wiki/Clock_Face,_St_Helens"
St Helens,Cowley Hill,suburb,,
St Helens,Denton's Green,suburb,,
St Helens,Derbyshire Hill,suburb,,
St Helens,Eccleston,suburb,"Eccleston, St Helens","https://en.wikipedia.org/wiki/Eccleston,_St_Helens"
St Helens,Eccleston Hill,suburb,,
St Helens,Eccleston Lane Ends,suburb,,
St Helens,Eccleston Park,suburb,,
St Helens,Fingerpost,suburb,,
St Helens,Gerard's Bridge,suburb,,
St Helens,Gillar's Green,suburb,,
St Helens,Grange Park,suburb,,
St Helens,Green Bank,suburb,,
St Helens,Haresfinch,suburb,,
St Helens,Holt,suburb,Steven Skov Holt,https://en.wikipedia.org/wiki/Steven_Skov_Holt
St Helens,Laffak,suburb,,
St Helens,Lea Green,suburb,,
St Helens,Longshaw,suburb,,
St Helens,Marshall's Cross,suburb,,
St Helens,Micklehead Green,suburb,,
St Helens,Moss Nook,suburb,,
St Helens,New Bold,suburb,,
St Helens,Newton Common,suburb,,
St Helens,Newtown,suburb,,
St Helens,Nutgrove,suburb,"Nutgrove, St Helens","https://en.wikipedia.org/wiki/Nutgrove,_St_Helens"
St Helens,Parr,suburb,"Parr, St Helens","https://en.wikipedia.org/wiki/Parr,_St_Helens"
St Helens,Parr Stocks,suburb,,
St Helens,Peasley Cross,suburb,,
St Helens,Pocket Nook,suburb,,
St Helens,Portico,suburb,,
St Helens,Rainhill,suburb,,
St Helens,Ravenhead,suburb,"Ravenhead, St Helens","https://en.wikipedia.org/wiki/Ravenhead,_St_Helens"
St Helens,Sherdley,suburb,,
St Helens,Sutton,suburb,"Sutton, St Helens","https://en.wikipedia.org/wiki/Sutton,_St_Helens"
St Helens,Sutton Heath,suburb,,
St Helens,Sutton Leach,suburb,,
St Helens,Sutton Manor,suburb,,
St Helens,Thatto Heath,suburb,"Thatto Heath, St Helens","https://en.wikipedia.org/wiki/Thatto_Heath,_St_Helens"
St Helens,Union Bank,suburb,,
St Helens,Vulcan Village,suburb,,
St Helens,Wargrave,suburb,,
St Helens,West Park,suburb,West Park St Helens,https://en.wikipedia.org/wiki/West_Park_St_Helens
St Helens,Windle,suburb,"Windle, St Helens","https://en.wikipedia.org/wiki/Windle,_St_Helens"
St Helens,Worsley Brow,suburb,,
St Helens,Tithebarn Hillock,neighbourhood,,
St Helens,Pewfall,quarter,,
St Helens,Rainhill Stoops,quarter,,
St Helens,Red Bank,quarter,,
St Helens,Billinge,village,"Billinge, St Helens","https://en.wikipedia.org/wiki/Billinge,_St_Helens"
St Helens,Blackbrook,village,"Blackbrook, St Helens","https://en.wikipedia.org/wiki/Blackbrook,_St_Helens"
St Helens,Bold Heath,village,,
St Helens,Carr Mill,village,,
St Helens,Downall Green,village,,
St Helens,Garswood,village,,
St Helens,Haydock,village,,
St Helens,Moss Bank,village,,
St Helens,Rainford,village,,
St Helens,Chadwick Green,hamlet,,
St Helens,Crank,hamlet,,
St Helens,Crow's Nest,hamlet,,
St Helens,King's Moss,hamlet,,
St Helens,Leyland Green,hamlet,,
St Helens,New Boston,hamlet,,
St Helens,Old Boston,hamlet,,
St Helens,Park Hill,hamlet,,
St Helens,Rainford Junction,hamlet,,
St Helens,Tithe Barn Hillock,hamlet,,
Newport,Allt-yr-yn,suburb,,
Newport,Alway,suburb,"Alway, Newport","https://en.wikipedia.org/wiki/Alway,_Newport"
Newport,Baneswell,suburb,,
Newport,Barnardtown,suburb,,
Newport,Barrack Hill,suburb,,
Newport,Bassaleg,suburb,,
Newport,Beechwood,suburb,"Beechwood, Newport","https://en.wikipedia.org/wiki/Beechwood,_Newport"
Newport,Bettws,suburb,"Bettws, Newport","https://en.wikipedia.org/wiki/Bettws,_Newport"
Newport,Bishpool,suburb,,
Newport,Cefn,suburb,CAF Newport,https://en.wikipedia.org/wiki/CAF_Newport
Newport,Christchurch,suburb,"Christchurch, Newport","https://en.wikipedia.org/wiki/Christchurch,_Newport"
Newport,Coedkernew,suburb,,
Newport,Coldra,suburb,,
Newport,Crindau,suburb,,
Newport,Duffryn,suburb,,
Newport,East Usk,suburb,,
Newport,Eveswell,suburb,,
Newport,Gaer,suburb,"Gaer, Newport","https://en.wikipedia.org/wiki/Gaer,_Newport"
Newport,Glan Llyn,suburb,,
Newport,Graig,suburb,"Graig, Newport","https://en.wikipedia.org/wiki/Graig,_Newport"
Newport,High Cross,suburb,"High Cross, Newport","https://en.wikipedia.org/wiki/High_Cross,_Newport"
Newport,Ladyhill,suburb,,
Newport,Langstone,suburb,"Langstone, Newport","https://en.wikipedia.org/wiki/Langstone,_Newport"
Newport,Lawrence Hill,suburb,,
Newport,Lliswerry,suburb,,
Newport,Maesglas,suburb,,
Newport,Maindee,suburb,"Maindee, Newport","https://en.wikipedia.org/wiki/Maindee,_Newport"
Newport,Malpas,suburb,"Malpas, Newport","https://en.wikipedia.org/wiki/Malpas,_Newport"
Newport,Malpas Court,suburb,,
Newport,Malpas Park,suburb,,
Newport,Pillgwenlly,suburb,,
Newport,Pye Corner,suburb,"Pye Corner, Newport","https://en.wikipedia.org/wiki/Pye_Corner,_Newport"
Newport,Ridgeway,suburb,"Ridgeway, Newport","https://en.wikipedia.org/wiki/Ridgeway,_Newport"
Newport,Ringland,suburb,"Ringland, Newport","https://en.wikipedia.org/wiki/Ringland,_Newport"
Newport,Rogerstone,suburb,,
Newport,Shaftesbury,suburb,"Shaftesbury, Newport","https://en.wikipedia.org/wiki/Shaftesbury,_Newport"
Newport,Somerton,suburb,"Somerton, Newport","https://en.wikipedia.org/wiki/Somerton,_Newport"
Newport,St Julians,suburb,"St Julians, Newport","https://en.wikipedia.org/wiki/St_Julians,_Newport"
Newport,St. Woolos,suburb,,
Newport,Stelvio,suburb,,
Newport,Stow Hill,suburb,"Stow Hill, Newport","https://en.wikipedia.org/wiki/Stow_Hill,_Newport"
Newport,Stow Park,suburb,,
Newport,Summerhill,suburb,"Summer Hill, New South Wales","https://en.wikipedia.org/wiki/Summer_Hill,_New_South_Wales"
Newport,Victoria,suburb,"Victoria, Newport","https://en.wikipedia.org/wiki/Victoria,_Newport"
Newport,Woodlands,suburb,"Woodlands, New South Wales","https://en.wikipedia.org/wiki/Woodlands,_New_South_Wales"
Newport,Afon Village,neighbourhood,,
Newport,Blaen-Y-Pant,neighbourhood,,
Newport,Brynglas,neighbourhood,,
Newport,Claremont,neighbourhood,,
Newport,Graig Park,neighbourhood,,
Newport,Home Farm,neighbourhood,,
Newport,Lodge Hill,neighbourhood,,
Newport,Mon Bank,neighbourhood,,
Newport,Pentre-Poeth,neighbourhood,,
Newport,Pilton Vale,neighbourhood,,
Newport,Trinity View,quarter,,
Newport,Bishton,village,"Bishton, Newport","https://en.wikipedia.org/wiki/Bishton,_Newport"
Newport,Caerleon,village,,
Newport,Castleton,village,"Castleton, Newport","https://en.wikipedia.org/wiki/Castleton,_Newport"
Newport,Goldcliff,village,"Goldcliff, Newport","https://en.wikipedia.org/wiki/Goldcliff,_Newport"
Newport,Llanmartin,village,,
Newport,Llanvaches,village,,
Newport,Llanwern,village,,
Newport,Marshfield,village,"Marshfield, Newport","https://en.wikipedia.org/wiki/Marshfield,_Newport"
Newport,Nash,village,"Nash, Newport","https://en.wikipedia.org/wiki/Nash,_Newport"
Newport,Redwick,village,"Redwick, Newport","https://en.wikipedia.org/wiki/Redwick,_Newport"
Newport,Rhiwderin,village,,
Newport,Underwood,village,"Underwood, Newport","https://en.wikipedia.org/wiki/Underwood,_Newport"
Newport,Whitson,village,,
Newport,Bulmore,hamlet,,
Newport,Catsash,hamlet,,
Newport,Five Lanes,hamlet,,
Newport,Llanbeder,hamlet,"Llanbedr, Newport","https://en.wikipedia.org/wiki/Llanbedr,_Newport"
Newport,Llandevaud,hamlet,,
Newport,Lower Machen,hamlet,,
Newport,Lower Michaelston,hamlet,,
Newport,Michaelston-y-Fedw,hamlet,,
Newport,Parc Seymour,hamlet,,
Newport,Penhow,hamlet,"Penhow, Newport","https://en.wikipedia.org/wiki/Penhow,_Newport"
Newport,Peterstone Wentlooge,hamlet,,
Newport,Saint Bride's Wentlooge,hamlet,,
Newport,Ultra Pontem,hamlet,,
Newport,Wilcrick,hamlet,,
Richmond,Anchorage Hill,neighbourhood,,
Richmond,Friars' Closes,neighbourhood,,
Richmond,Hurgill,neighbourhood,,
